date,product,category,amount,quantity
2024-01-05,Laptop,Electronics,85600,2
2024-01-08,Coffee,Food,1150,8
2024-01-12,Desk,Furniture,43200,1
2024-01-15,T-Shirt,Clothing,3200,3
2024-01-18,Mouse,Electronics,2850,3
2024-01-22,Rice,Food,2400,10
2024-01-25,Chair,Furniture,30500,1
2024-01-28,Snack,Food,480,12
2024-02-02,Keyboard,Electronics,7600,2
2024-02-05,Jeans,Clothing,8500,2
2024-02-09,Coffee,Food,1250,9
2024-02-12,Shelf,Furniture,14200,2
2024-02-15,Laptop,Electronics,92300,1
2024-02-18,Snack,Food,520,15
2024-02-22,T-Shirt,Clothing,3650,4
2024-02-25,Rice,Food,2600,8
2024-02-28,Monitor,Electronics,33100,1
2024-03-02,Laptop,Electronics,95800,3
2024-03-05,Desk,Furniture,47500,2
2024-03-08,Monitor,Electronics,36200,2
2024-03-10,Keyboard,Electronics,8300,4
2024-03-13,Chair,Furniture,34500,3
2024-03-16,Coffee,Food,1100,7
2024-03-19,Mouse,Electronics,3100,5
2024-03-22,Shelf,Furniture,15800,2
2024-03-25,Laptop,Electronics,88500,2
2024-03-28,Snack,Food,550,10
2024-03-31,Monitor,Electronics,35600,1
2024-04-03,T-Shirt,Clothing,3800,6
2024-04-06,Jeans,Clothing,9200,4
2024-04-09,Jacket,Clothing,16500,3
2024-04-12,Coffee,Food,1180,8
2024-04-15,Mouse,Electronics,2750,2
2024-04-18,T-Shirt,Clothing,3400,5
2024-04-21,Desk,Furniture,44000,1
2024-04-24,Rice,Food,2350,9
2024-04-27,Jacket,Clothing,14800,2
2024-05-02,Laptop,Electronics,87200,1
2024-05-05,Chair,Furniture,31000,1
2024-05-08,Coffee,Food,1300,10
2024-05-11,Keyboard,Electronics,7800,2
2024-05-15,T-Shirt,Clothing,3550,3
2024-05-18,Snack,Food,460,13
2024-05-22,Shelf,Furniture,15500,1
2024-05-25,Jeans,Clothing,8700,2
2024-05-28,Rice,Food,2550,7
2024-06-01,Monitor,Electronics,33800,1
2024-06-04,Desk,Furniture,42500,1
2024-06-08,Coffee,Food,1220,9
2024-06-11,Mouse,Electronics,3050,3
2024-06-15,T-Shirt,Clothing,3300,4
2024-06-18,Chair,Furniture,33500,1
2024-06-22,Snack,Food,510,11
2024-06-25,Laptop,Electronics,91000,1
2024-06-28,Rice,Food,2450,8
2024-07-02,Keyboard,Electronics,8100,2
2024-07-05,Jeans,Clothing,9100,2
2024-07-09,Coffee,Food,1280,10
2024-07-12,Shelf,Furniture,14800,1
2024-07-15,Monitor,Electronics,34200,1
2024-07-18,Snack,Food,540,14
2024-07-22,Desk,Furniture,46000,1
2024-07-25,T-Shirt,Clothing,3600,3
2024-07-28,Mouse,Electronics,2900,2
2024-08-02,Coffee,Food,1150,8
2024-08-05,Chair,Furniture,30800,1
2024-08-09,Laptop,Electronics,86400,1
2024-08-12,Rice,Food,2380,9
2024-08-16,Jacket,Clothing,15200,2
2024-08-19,Snack,Food,490,12
2024-08-22,Keyboard,Electronics,7700,3
2024-08-25,T-Shirt,Clothing,3450,3
2024-08-28,Shelf,Furniture,15200,1
2024-09-02,Desk,Furniture,48000,3
2024-09-05,Chair,Furniture,35000,2
2024-09-08,Coffee,Food,1200,7
2024-09-11,Monitor,Electronics,34500,1
2024-09-14,Shelf,Furniture,16000,2
2024-09-18,Mouse,Electronics,2800,2
2024-09-21,Jeans,Clothing,8800,2
2024-09-25,Rice,Food,2500,10
2024-09-28,Snack,Food,530,11
2024-10-03,T-Shirt,Clothing,3700,5
2024-10-06,Jacket,Clothing,16200,4
2024-10-09,Jeans,Clothing,9500,3
2024-10-12,Coffee,Food,1260,9
2024-10-16,Laptop,Electronics,88000,1
2024-10-19,Desk,Furniture,44500,1
2024-10-22,T-Shirt,Clothing,3350,4
2024-10-25,Snack,Food,500,13
2024-10-28,Keyboard,Electronics,8200,2
2024-11-02,Monitor,Electronics,35200,1
2024-11-05,Coffee,Food,1180,8
2024-11-08,Chair,Furniture,32500,1
2024-11-12,Mouse,Electronics,3000,3
2024-11-15,Rice,Food,2650,9
2024-11-18,Jacket,Clothing,15500,2
2024-11-22,Shelf,Furniture,14500,1
2024-11-25,Jeans,Clothing,8600,2
2024-11-28,Snack,Food,480,10
2024-12-02,Laptop,Electronics,97500,4
2024-12-05,Monitor,Electronics,37800,3
2024-12-08,Keyboard,Electronics,8500,5
2024-12-11,Mouse,Electronics,3200,4
2024-12-14,Coffee,Food,1350,12
2024-12-17,Desk,Furniture,43800,1
2024-12-20,T-Shirt,Clothing,3500,3
2024-12-23,Laptop,Electronics,93200,2
2024-12-26,Chair,Furniture,31500,1
2024-12-28,Rice,Food,2700,8
2024-12-30,Snack,Food,550,15
